Position,Location,Gender,Education,Experience (Years),Salary,Salary_in_LPA,Combined_Tokens
Salesforce Architect,New Delhi,Female,,14,1900000,19LPA,"['salesforce', 'architect', 'new', 'delhi', '1900000 salary', '14 experience (years)']"
Account Manager,Bengaluru,Female,B.Tech/B.E.,17,2500000,25LPA,"['account', 'manager', 'bengaluru', '2500000 salary', '17 experience (years)']"
Account Manager,Ghaziabad,Female,B.Com,17,2300000,23LPA,"['account', 'manager', 'ghaziabad', '2300000 salary', '17 experience (years)']"
Product Manager/DevOps/ IAM/PM,Mohali,Male,B.Sc,27,1800000,18LPA,"['product', 'manager', 'iam', 'pm', 'mohali', '1800000 salary', '27 experience (years)']"
GCP Solution Engineer,Faridabad,Female,Diploma,12,800000,8LPA,"['gcp', 'solution', 'engineer', 'diploma', 'faridabad', '800000 salary', '12 experience (years)']"
"GCP Data Engineer/Spark,Python",New Delhi,Male,B.Com,23,1000000,10LPA,"['gcp', 'data', 'engineer', 'spark', 'python', 'new', 'delhi', '1000000 salary', '23 experience (years)']"
.Net Architect,Hyderabad,Female,B.Sc,9,600000,6LPA,"['architect', 'hyderabad', '600000 salary', '9 experience (years)']"
"GCP Data Engineer/Spark,Python",New Delhi,Male,Diploma,11,1000000,10LPA,"['gcp', 'data', 'engineer', 'spark', 'python', 'diploma', 'new', 'delhi', '1000000 salary', '11 experience (years)']"
Cloud/ DevOps Engineer,Noida,Male,B.Tech/B.E.,28,1300000,13LPA,"['devops', 'engineer', 'noida', '1300000 salary', '28 experience (years)']"
Account Manager/ HealthCare(Payer/Provider),Chennai,Male,B.Tech/B.E.,6,1700000,17LPA,"['account', 'provider', 'chennai', '1700000 salary', '6 experience (years)']"
Account Manager/ HealthCare(Payer/Provider),New Delhi,Female,Diploma,28,1800000,18LPA,"['account', 'provider', 'diploma', 'new', 'delhi', '1800000 salary', '28 experience (years)']"
Account Manager/ HealthCare(Payer/Provider),New Delhi,Male,B.Tech/B.E.,6,2400000,24LPA,"['account', 'provider', 'new', 'delhi', '2400000 salary', '6 experience (years)']"
Account Manager/ HealthCare(Payer/Provider),Hyderabad,Male,B.A,9,2200000,22LPA,"['account', 'provider', 'hyderabad', '2200000 salary', '9 experience (years)']"
"API, C#, Selenium Testing",Bengaluru,Female,B.Sc,12,1800000,18LPA,"['api', 'c', 'selenium', 'testing', 'bengaluru', '1800000 salary', '12 experience (years)']"
"API, C#, Selenium Testing",Lucknow,Male,B.Tech/B.E.,15,2500000,25LPA,"['api', 'c', 'selenium', 'testing', 'lucknow', '2500000 salary', '15 experience (years)']"
Cloud Engineer,New Delhi,Male,B.Tech/B.E.,24,2100000,21LPA,"['cloud', 'engineer', 'new', 'delhi', '2100000 salary', '24 experience (years)']"
SQL Developer,Gurugram,Male,Diploma,14,2500000,25LPA,"['sql', 'developer', 'diploma', 'gurugram', '2500000 salary', '14 experience (years)']"
Infor M3 Technical,Pune,Male,B.Tech/B.E.,13,2000000,20LPA,"['infor', 'technical', 'pune', '2000000 salary', '13 experience (years)']"
Database Tester,Paonta Sahib,Female,B.Tech/B.E.,6,1300000,13LPA,"['database', 'tester', 'paonta', 'sahib', '1300000 salary', '6 experience (years)']"
Database Tester,Gurugram,Male,B.A,8,1100000,11LPA,"['database', 'tester', 'gurugram', '1100000 salary', '8 experience (years)']"
QNXT Technical SME,Pune,Male,BCA,9,1800000,18LPA,"['qnxt', 'technical', 'sme', 'bca', 'pune', '1800000 salary', '9 experience (years)']"
Java Backend Developer,Hyderabad,Male,B.Com,24,1500000,15LPA,"['java', 'backend', 'developer', 'hyderabad', '1500000 salary', '24 experience (years)']"
QNXT Technical SME,Hyderabad,Male,B.B.A/ B.M.S,20,600000,6LPA,"['qnxt', 'technical', 'sme', 'hyderabad', '600000 salary', '20 experience (years)']"
QNXT Technical SME,Noida,Male,B.Tech/B.E.,25,2000000,20LPA,"['qnxt', 'technical', 'sme', 'noida', '2000000 salary', '25 experience (years)']"
Technical Program Manager,Bengaluru,Female,B.Com,16,1400000,14LPA,"['technical', 'program', 'manager', 'bengaluru', '1400000 salary', '16 experience (years)']"
QNXT technical Role,Gurugram,Male,B.Tech/B.E.,12,1800000,18LPA,"['qnxt', 'technical', 'role', 'gurugram', '1800000 salary', '12 experience (years)']"
QNXT technical Role,Bengaluru,Male,B.A,20,1600000,16LPA,"['qnxt', 'technical', 'role', 'bengaluru', '1600000 salary', '20 experience (years)']"
Project Coordinator(QNXT),Bengaluru,Female,B.Sc,24,1100000,11LPA,"['project', 'bengaluru', '1100000 salary', '24 experience (years)']"
Project Coordinator(QNXT),Kolkata,Male,B.Tech/B.E.,5,600000,6LPA,"['project', 'kolkata', '600000 salary', '5 experience (years)']"
HealthCare System Analyst,Noida,Female,B.Sc,15,1200000,12LPA,"['healthcare', 'system', 'analyst', 'noida', '1200000 salary', '15 experience (years)']"
Systems Analyst (QNXT),London - United Kingdom (UK),Male,B.Com,28,1300000,13LPA,"['systems', 'analyst', 'qnxt', 'london', 'united', 'kingdom', 'uk', '1300000 salary', '28 experience (years)']"
Systems Analyst (QNXT),Pune,Male,B.Sc,15,1900000,19LPA,"['systems', 'analyst', 'qnxt', 'pune', '1900000 salary', '15 experience (years)']"
Senior Analyst RPA BA,New Delhi,Male,Not Pursuing Graduation,21,1300000,13LPA,"['senior', 'analyst', 'rpa', 'ba', 'not', 'pursuing', 'graduation', 'new', 'delhi', '1300000 salary', '21 experience (years)']"
Systems Analyst (QNXT),Bengaluru,Female,B.Tech/B.E.,8,900000,9LPA,"['systems', 'analyst', 'qnxt', 'bengaluru', '900000 salary', '8 experience (years)']"
Systems Analyst (QNXT),Bahadurgarh,Male,B.Tech/B.E.,6,600000,6LPA,"['systems', 'analyst', 'qnxt', 'bahadurgarh', '600000 salary', '6 experience (years)']"
Informatica Developer,Pune,Female,B.Tech/B.E.,27,1400000,14LPA,"['informatica', 'developer', 'pune', '1400000 salary', '27 experience (years)']"
Technical Writer (QNXT),Srinagar,Female,B.Sc,27,2000000,20LPA,"['technical', 'writer', 'qnxt', 'srinagar', '2000000 salary', '27 experience (years)']"
Informatica Developer,"Pune, kolhapur - Maharashtra",Female,B.Tech/B.E.,16,2300000,23LPA,"['informatica', 'developer', 'pune', 'kolhapur', 'maharashtra', '2300000 salary', '16 experience (years)']"
Informatica Developer,Chennai,Male,BJMC,18,2500000,25LPA,"['informatica', 'developer', 'bjmc', 'chennai', '2500000 salary', '18 experience (years)']"
Database Administrator,New Delhi,Female,B.A,16,1500000,15LPA,"['database', 'administrator', 'new', 'delhi', '1500000 salary', '16 experience (years)']"
Database Administrator,New Delhi,Male,B.Tech/B.E.,7,500000,5LPA,"['database', 'administrator', 'new', 'delhi', '500000 salary', '7 experience (years)']"
"Business analysts(Provider, Payor, RCM)",Ghaziabad,Male,course on computer concepts,23,900000,9LPA,"['business', 'payor', 'rcm', 'course', 'on', 'computer', 'concepts', 'ghaziabad', '900000 salary', '23 experience (years)']"
"Business analysts(Provider, Payor, RCM)",Lucknow,Female,BCA,16,1300000,13LPA,"['business', 'payor', 'rcm', 'bca', 'lucknow', '1300000 salary', '16 experience (years)']"
"Qnxt, .Net, SQL, JavaScript",Jaipur,Male,B.Des.,17,1800000,18LPA,"['qnxt', 'sql', 'javascript', 'jaipur', '1800000 salary', '17 experience (years)']"
PowerBi/ETL/Azure/DataWarehouse,Noida,Male,B.A,20,1300000,13LPA,"['powerbi', 'etl', 'azure', 'datawarehouse', 'noida', '1300000 salary', '20 experience (years)']"
PowerBi/ETL/Azure/DataWarehouse,Bengaluru,Male,B.Com,15,1200000,12LPA,"['powerbi', 'etl', 'azure', 'datawarehouse', 'bengaluru', '1200000 salary', '15 experience (years)']"
"GCP Data Engineer/Hadoop,Python",New Delhi,Male,B.Com,16,2000000,20LPA,"['gcp', 'data', 'engineer', 'hadoop', 'python', 'new', 'delhi', '2000000 salary', '16 experience (years)']"
"DevOps/azure, python, java, terraform",Hyderabad,Male,BCA,24,1100000,11LPA,"['devops', 'azure', 'python', 'java', 'terraform', 'bca', 'hyderabad', '1100000 salary', '24 experience (years)']"
"DevOps/azure, python, java, terraform",Pune,Male,B.Tech/B.E.,14,2400000,24LPA,"['devops', 'azure', 'python', 'java', 'terraform', 'pune', '2400000 salary', '14 experience (years)']"
"Facets, Networx, Business Analyst",New Delhi,Female,B.Tech/B.E.,25,1400000,14LPA,"['facets', 'networx', 'business', 'analyst', 'new', 'delhi', '1400000 salary', '25 experience (years)']"
"Facets, Networx, Business Analyst",Rajahmundry,Female,B.Tech/B.E.,8,2400000,24LPA,"['facets', 'networx', 'business', 'analyst', 'rajahmundry', '2400000 salary', '8 experience (years)']"
"Facets, Networx, Business Analyst",Faridabad,Female,B.Tech/B.E.,22,2000000,20LPA,"['facets', 'networx', 'business', 'analyst', 'faridabad', '2000000 salary', '22 experience (years)']"
"Facets, Networx, Business Analyst",New Delhi,Male,B.Tech/B.E.,12,700000,7LPA,"['facets', 'networx', 'business', 'analyst', 'new', 'delhi', '700000 salary', '12 experience (years)']"
"GCP Data Engineer/Hadoop,Python",New Delhi,Male,B.Tech/B.E.,25,2200000,22LPA,"['gcp', 'data', 'engineer', 'hadoop', 'python', 'new', 'delhi', '2200000 salary', '25 experience (years)']"
Provider Dispute/Claims,Pune,Female,,19,900000,9LPA,"['provider', 'dispute', 'claims', 'pune', '900000 salary', '19 experience (years)']"
Provider Dispute/Claims,New Delhi,Male,B.A,5,2500000,25LPA,"['provider', 'dispute', 'claims', 'new', 'delhi', '2500000 salary', '5 experience (years)']"
QNXT/Business Analyst/QA/SQL,Uttar Pradesh - Uttar Pradesh,Female,B.Tech/B.E.,22,2200000,22LPA,"['qnxt', 'business', 'analyst', 'qa', 'sql', 'uttar', 'pradesh', 'uttar', 'pradesh', '2200000 salary', '22 experience (years)']"
"GCP Solution Eng/GKE, python, sql",Bhopal,Female,B.Tech/B.E.,16,1800000,18LPA,"['gcp', 'solution', 'eng', 'gke', 'python', 'sql', 'bhopal', '1800000 salary', '16 experience (years)']"
"GCP Solution Eng/GKE, python, sql",Varanasi,Female,B.Tech/B.E.,6,2400000,24LPA,"['gcp', 'solution', 'eng', 'gke', 'python', 'sql', 'varanasi', '2400000 salary', '6 experience (years)']"
Facets EDM,Bengaluru,Male,B.Tech/B.E.,7,2100000,21LPA,"['facets', 'edm', 'bengaluru', '2100000 salary', '7 experience (years)']"
Hadoop Tester/Bigdata tester,Hyderabad,Female,B.Tech/B.E.,5,1600000,16LPA,"['hadoop', 'tester', 'bigdata', 'tester', 'hyderabad', '1600000 salary', '5 experience (years)']"
"Cloud engineer/ Gcp,kubernetes",Bengaluru,Male,BCA,18,800000,8LPA,"['cloud', 'gcp', 'kubernetes', 'bca', 'bengaluru', '800000 salary', '18 experience (years)']"
"Big Data Tester/ Hadoop, Azure",Mumbai,Male,B.Sc,27,1000000,10LPA,"['big', 'data', 'hadoop', 'azure', 'mumbai', '1000000 salary', '27 experience (years)']"
"Big Data Tester/ Hadoop, Azure",MEERUT - United States (USA),Male,B.Sc,26,800000,8LPA,"['big', 'data', 'hadoop', 'azure', 'meerut', 'united', 'states', 'usa', '800000 salary', '26 experience (years)']"
Human Resources Associate,New Delhi,Male,B.A,11,1300000,13LPA,"['human', 'resources', 'associate', 'new', 'delhi', '1300000 salary', '11 experience (years)']"
Human Resources Associate,Pune,Male,B.Com,21,600000,6LPA,"['human', 'resources', 'associate', 'pune', '600000 salary', '21 experience (years)']"
"Big Data Lead/ Hive, Hadoop, python ",Noida,Female,B.Sc,9,900000,9LPA,"['big', 'data', 'hive', 'hadoop', 'python', 'noida', '900000 salary', '9 experience (years)']"
"EPIC Trainer/ EMR, Tapestry",Kota,Male,LLB,13,2100000,21LPA,"['epic', 'emr', 'tapestry', 'llb', 'kota', '2100000 salary', '13 experience (years)']"
"EPIC Trainer/ EMR, Tapestry",Noida,Female,B.Com,12,2000000,20LPA,"['epic', 'emr', 'tapestry', 'noida', '2000000 salary', '12 experience (years)']"
".Net Lead/Angular, JavaScript",Kashipur,Male,B.Com,8,1100000,11LPA,"['lead', 'angular', 'javascript', 'kashipur', '1100000 salary', '8 experience (years)']"
"Network Engineer , Firewall, NextGen",Bengaluru,Male,BCA,6,600000,6LPA,"['network', 'engineer', 'firewall', 'nextgen', 'bca', 'bengaluru', '600000 salary', '6 experience (years)']"
"Bigdata tester, Hadoop, Azure",Noida,Female,B.A,15,1800000,18LPA,"['bigdata', 'tester', 'hadoop', 'azure', 'noida', '1800000 salary', '15 experience (years)']"
Oracle PL/SQL developer,Noida,Female,B.A,7,2300000,23LPA,"['oracle', 'pl', 'sql', 'developer', 'noida', '2300000 salary', '7 experience (years)']"
SFDC Mulesoft Integration lead Developer,Sathyamangalam,Female,BCA,19,1800000,18LPA,"['sfdc', 'mulesoft', 'integration', 'lead', 'developer', 'bca', 'sathyamangalam', '1800000 salary', '19 experience (years)']"
SFDC Mulesoft Integration lead Developer,Pune,Male,B.Com,6,700000,7LPA,"['sfdc', 'mulesoft', 'integration', 'lead', 'developer', 'pune', '700000 salary', '6 experience (years)']"
"EPIC Role, Cadence, My Chart, Cogito ",Ranchi - Madhya Pradesh,Female,B.Sc,16,2000000,20LPA,"['epic', 'role', 'cadence', 'my', 'chart', 'cogito', 'ranchi', 'madhya', 'pradesh', '2000000 salary', '16 experience (years)']"
"HRP Pricing resources, HealthRules",Coimbatore,Male,B.Com,23,2200000,22LPA,"['hrp', 'pricing', 'resources', 'healthrules', 'coimbatore', '2200000 salary', '23 experience (years)']"
"DevOps manager, SAAS, Linux",Gurugram,Male,Diploma,14,900000,9LPA,"['devops', 'manager', 'saas', 'linux', 'diploma', 'gurugram', '900000 salary', '14 experience (years)']"
BI Architect,New Delhi,Female,,7,1800000,18LPA,"['bi', 'architect', 'new', 'delhi', '1800000 salary', '7 experience (years)']"
"Tech Support, Incident manager",Bengaluru,Female,B.Com,7,1600000,16LPA,"['tech', 'support', 'incident', 'manager', 'bengaluru', '1600000 salary', '7 experience (years)']"
"Tech Support, Incident manager",Chandigarh,Male,B.Com,5,500000,5LPA,"['tech', 'support', 'incident', 'manager', 'chandigarh', '500000 salary', '5 experience (years)']"
SAP S4 HANA FICO Consultant,Noida,Male,B.Sc,21,2300000,23LPA,"['sap', 'hana', 'fico', 'consultant', 'noida', '2300000 salary', '21 experience (years)']"
Business Analyst  AML/KYC,Mumbai,Female,B.Com,9,1000000,10LPA,"['business', 'analyst', 'aml', 'kyc', 'mumbai', '1000000 salary', '9 experience (years)']"
Oracle PL/SQL developer,Bengaluru,Female,BCA,15,1200000,12LPA,"['oracle', 'pl', 'sql', 'developer', 'bca', 'bengaluru', '1200000 salary', '15 experience (years)']"
DevOps Infrastructure Eng,Hyderabad,Female,B.Tech/B.E.,17,2300000,23LPA,"['devops', 'infrastructure', 'eng', 'hyderabad', '2300000 salary', '17 experience (years)']"
Facets Technical Consultant ,Kolkata,Male,B.Tech/B.E.,28,700000,7LPA,"['facets', 'technical', 'consultant', 'kolkata', '700000 salary', '28 experience (years)']"
Cerner Project manager,Bengaluru,Female,B.Tech/B.E.,5,2400000,24LPA,"['cerner', 'project', 'manager', 'bengaluru', '2400000 salary', '5 experience (years)']"
"DevOps manager, SAAS, FedRAMP, FISMA",Gurugram,Female,B.Com,12,900000,9LPA,"['devops', 'manager', 'saas', 'fedramp', 'fisma', 'gurugram', '900000 salary', '12 experience (years)']"
Human resource Benefits associate,New Delhi,Male,B.Tech/B.E.,23,1500000,15LPA,"['human', 'resource', 'benefits', 'associate', 'new', 'delhi', '1500000 salary', '23 experience (years)']"
"IT Support, Network, Server",New Delhi,Female,B.Tech/B.E.,10,2200000,22LPA,"['it', 'support', 'network', 'server', 'new', 'delhi', '2200000 salary', '10 experience (years)']"
"IT Support, Network, Server",Kolkata,Male,B.Tech/B.E.,28,1800000,18LPA,"['it', 'support', 'network', 'server', 'kolkata', '1800000 salary', '28 experience (years)']"
QNXT Testing Manager/Lead,Noida,Female,B.A,5,700000,7LPA,"['qnxt', 'testing', 'manager', 'lead', 'noida', '700000 salary', '5 experience (years)']"
QNXT Testing Manager/Lead,Durgapur,Male,BCA,14,1100000,11LPA,"['qnxt', 'testing', 'manager', 'lead', 'bca', 'durgapur', '1100000 salary', '14 experience (years)']"
.Net Developer  ,New Delhi,Female,B.Tech/B.E.,7,1300000,13LPA,"['developer', 'new', 'delhi', '1300000 salary', '7 experience (years)']"
.Net Developer  ,Pune,Male,B.Tech/B.E.,6,2300000,23LPA,"['developer', 'pune', '2300000 salary', '6 experience (years)']"
.Net Developer  ,New Delhi,Male,BBA,20,1000000,10LPA,"['developer', 'bba', 'new', 'delhi', '1000000 salary', '20 experience (years)']"
"EPIC Tapestry Provider data, QNXT, Facets",Mumbai,Female,B.Com,15,1700000,17LPA,"['epic', 'tapestry', 'provider', 'data', 'qnxt', 'facets', 'mumbai', '1700000 salary', '15 experience (years)']"
Caboodle Developer,Mumbai,Female,B.Tech/B.E.,9,700000,7LPA,"['caboodle', 'developer', 'mumbai', '700000 salary', '9 experience (years)']"
"Automation QA .NET, Angular, C#, Selenium",Pune,Male,B.A,6,1200000,12LPA,"['automation', 'qa', 'angular', 'c', 'selenium', 'pune', '1200000 salary', '6 experience (years)']"
BI Cognos Developer,North Goa,Female,B.Sc,22,1000000,10LPA,"['bi', 'cognos', 'developer', 'north', 'goa', '1000000 salary', '22 experience (years)']"
"SQL Developer, HRP",Patna,Female,BCA,5,600000,6LPA,"['sql', 'developer', 'hrp', 'bca', 'patna', '600000 salary', '5 experience (years)']"
Cognos Developer,Mumbai,Female,Diploma,7,2000000,20LPA,"['cognos', 'developer', 'diploma', 'mumbai', '2000000 salary', '7 experience (years)']"
Advance Maths Teacher,New Delhi,Male,B.Tech/B.E.,12,1900000,19LPA,"['advance', 'maths', 'teacher', 'new', 'delhi', '1900000 salary', '12 experience (years)']"
Maths Teacher,Pune,Male,B.Sc,12,1400000,14LPA,"['maths', 'teacher', 'pune', '1400000 salary', '12 experience (years)']"
Maths Teacher,New Delhi,Male,BCA,21,700000,7LPA,"['maths', 'teacher', 'bca', 'new', 'delhi', '700000 salary', '21 experience (years)']"
Research Analyst,Kolkata,Male,BCA,15,2200000,22LPA,"['research', 'analyst', 'bca', 'kolkata', '2200000 salary', '15 experience (years)']"
Maths Teacher,Pune,Male,B.Tech/B.E.,8,1400000,14LPA,"['maths', 'teacher', 'pune', '1400000 salary', '8 experience (years)']"
Maths Teacher,New Delhi,Male,B.Tech/B.E.,10,800000,8LPA,"['maths', 'teacher', 'new', 'delhi', '800000 salary', '10 experience (years)']"
Advance Maths Teacher,Bengaluru,Female,B.Com,23,1100000,11LPA,"['advance', 'maths', 'teacher', 'bengaluru', '1100000 salary', '23 experience (years)']"
Maths Teacher,Kolkata,Female,Diploma,14,1000000,10LPA,"['maths', 'teacher', 'diploma', 'kolkata', '1000000 salary', '14 experience (years)']"
Maths Teacher,Gwalior,Male,B.Tech/B.E.,18,1100000,11LPA,"['maths', 'teacher', 'gwalior', '1100000 salary', '18 experience (years)']"
Maths Teacher,Noida,Female,B.Tech/B.E.,14,2300000,23LPA,"['maths', 'teacher', 'noida', '2300000 salary', '14 experience (years)']"
Advance Maths Teacher,New Delhi,Male,B.B.A/ B.M.S,7,2500000,25LPA,"['advance', 'maths', 'teacher', 'new', 'delhi', '2500000 salary', '7 experience (years)']"
Research Analyst,Bhiwandi,Male,B.Sc,26,1800000,18LPA,"['research', 'analyst', 'bhiwandi', '1800000 salary', '26 experience (years)']"
Research Analyst,New Delhi,Male,B.A,20,500000,5LPA,"['research', 'analyst', 'new', 'delhi', '500000 salary', '20 experience (years)']"
Maths Teacher,New Delhi,Male,B.Tech/B.E.,25,1800000,18LPA,"['maths', 'teacher', 'new', 'delhi', '1800000 salary', '25 experience (years)']"
Advance Maths Teacher,Gwalior,Male,BCA,28,1300000,13LPA,"['advance', 'maths', 'teacher', 'bca', 'gwalior', '1300000 salary', '28 experience (years)']"
Research Analyst,Renukoot,Female,LLB,28,2300000,23LPA,"['research', 'analyst', 'llb', 'renukoot', '2300000 salary', '28 experience (years)']"
Research Analyst,Bengaluru,Male,B.Com,5,1600000,16LPA,"['research', 'analyst', 'bengaluru', '1600000 salary', '5 experience (years)']"
Research Analyst,Bengaluru,Male,B.Com,15,2500000,25LPA,"['research', 'analyst', 'bengaluru', '2500000 salary', '15 experience (years)']"
Research Analyst,Noida,Male,B.Sc,8,2200000,22LPA,"['research', 'analyst', 'noida', '2200000 salary', '8 experience (years)']"
Research Analyst,Bengaluru,Female,B.A,17,2000000,20LPA,"['research', 'analyst', 'bengaluru', '2000000 salary', '17 experience (years)']"
Advance Maths Teacher,Noida,Male,B.Com,26,1800000,18LPA,"['advance', 'maths', 'teacher', 'noida', '1800000 salary', '26 experience (years)']"
